FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
202389,Sawpit,Populated Place,San Miguel,37.9952702,-108.0017339,2314
202532,Lake Granby,Reservoir,Grand,40.1480413,-105.8658459,2525
202560,Longmont,Populated Place,Boulder,40.1672069,-105.1019275,1519
202568,Mead,Populated Place,Weld,40.2333174,-104.99859,1525
202602,Lewis,Populated Place,Montezuma,37.4997136,-108.6692637,2048
202607,Dolores,Populated Place,Montezuma,37.4738818,-108.5045356,2114
202621,La Plata Mountains,Range,Montezuma,37.4449971,-108.0889642,4027
202625,Sleeping Ute Mountain,Ridge,Montezuma,37.2705493,-108.8137128,2817
202628,Yucca House National Monument,Park,Montezuma,37.2497167,-108.6839849,1790
202656,Marvel,Populated Place,La Plata,37.1125001,-108.1267413,2053
202690,Williams Mountains,Range,Pitkin,39.1805444,-106.6103099,4070
202703,Pierce,Populated Place,Weld,40.635536,-104.7552458,1535
202732,Evans,Populated Place,Weld,40.3763701,-104.6921874,1418
202740,Jackson Reservoir,Reservoir,Morgan,40.3802613,-104.066895,1352
202748,Riverside Reservoir,Reservoir,Weld,40.3241479,-104.2566173,1375
202749,Empire Reservoir,Reservoir,Morgan,40.2749808,-104.1407837,1375
202787,Rollinsville,Populated Place,Gilpin,39.9172094,-105.5011084,2583
202813,Lafayette,Populated Place,Boulder,39.9935959,-105.0897058,1588
202837,Golden,Populated Place,Jefferson,39.755543,-105.2210997,1730
202840,Wheat Ridge,Populated Place,Jefferson,39.766098,-105.0772063,1664
202848,Edgewater,Populated Place,Jefferson,39.7530425,-105.0641503,1640
202874,Bow Mar,Populated Place,Arapahoe,39.628321,-105.0499841,1682
202892,Julesburg,Populated Place,Sedgwick,40.9883258,-102.2643519,1060
202901,Sterling,Populated Place,Logan,40.6255415,-103.207709,1200
202908,Jones Flat,Flat,Logan,40.5041524,-103.1713236,1293
202915,Prewitt Reservoir,Reservoir,Washington,40.4297038,-103.3702178,1246
202920,Yuma,Populated Place,Yuma,40.1222084,-102.7252096,1261
202941,Tarryall Mountains,Range,Park,39.2322122,-105.5280583,3319
202972,Vallecito Reservoir,Reservoir,La Plata,37.3775023,-107.5733908,2336
202983,Durango,Populated Place,La Plata,37.27528,-107.8800667,1991
203010,Bondad,Populated Place,La Plata,37.0458355,-107.8761767,1841
203014,Mesa Mountains,Range,La Plata,37.0686137,-107.790619,2304
203031,Barr Lake,Reservoir,Adams,39.9574842,-104.7533035,1555
203036,Cherry Hills Village,Populated Place,Arapahoe,39.6416544,-104.9594253,1654
203038,Cherry Creek Lake,Reservoir,Arapahoe,39.6513768,-104.8552545,1714
203044,Piñon Mesa,Summit,Mesa,38.8638729,-108.9839979,2705
203073,Orchard City,Populated Place,Delta,38.8283161,-107.9708995,1660
203153,Uravan,Populated Place,Montrose,38.3683225,-108.7364871,1521
203218,Marcellina Mountain,Summit,Gunnison,38.9299915,-107.2439395,3459
203247,Anthracite Range,Range,Gunnison,38.814438,-107.1444944,3759
203271,Black Canyon of the Gunnison National Monument,Park,Montrose,38.5816526,-107.7214472,2045
